"index","listing_id","price","nbhood_full"
"323","159749","88 dollars","Brooklyn, Bedford-Stuyvesant"
"324","159815","80 dollars","Brooklyn, Bedford-Stuyvesant"
"325","159913","150 dollars","Manhattan, Chelsea"
"326","160609","200 dollars","Manhattan, Upper West Side"
"327","160994","200 dollars","Manhattan, East Village"
"328","161366","42 dollars","Queens, Sunnyside"
"329","161996","295 dollars","Manhattan, Harlem"
"330","162508","130 dollars","Brooklyn, Crown Heights"
"331","163809","198 dollars","Manhattan, Harlem"
"332","163814","99 dollars","Manhattan, East Village"
"333","163836","46 dollars","Brooklyn, Greenpoint"
"334","164989","140 dollars","Manhattan, SoHo"
"335","165461","75 dollars","Manhattan, Morningside Heights"
"336","165824","33 dollars","Queens, Sunnyside"
"337","166172","60 dollars","Brooklyn, Bushwick"
"338","166541","75 dollars","Manhattan, Washington Heights"
"339","167482","185 dollars","Manhattan, Upper West Side"
"340","168084","190 dollars","Manhattan, East Village"
"341","168123","105 dollars","Brooklyn, South Slope"
"342","169002","65 dollars","Manhattan, Harlem"
"343","169306","37 dollars","Bronx, University Heights"
"344","169464","85 dollars","Brooklyn, Williamsburg"
"345","170761","85 dollars","Brooklyn, Fort Greene"
"346","173072","49 dollars","Manhattan, Harlem"
"347","173151","91 dollars","Brooklyn, Greenpoint"
"348","173742","400 dollars","Manhattan, Gramercy"
"349","176653","100 dollars","Manhattan, East Village"
"350","176962","179 dollars","Brooklyn, Williamsburg"
"351","177421","500 dollars","Brooklyn, Greenpoint"
"352","177495","429 dollars","Manhattan, Chelsea"
"353","177606","189 dollars","Manhattan, Kips Bay"
"354","179670","120 dollars","Manhattan, Lower East Side"
"355","179741","300 dollars","Manhattan, Nolita"
"356","180792","95 dollars","Queens, Astoria"
"357","181972","199 dollars","Manhattan, Harlem"
"358","182069","120 dollars","Manhattan, East Harlem"
"359","182095","199 dollars","Manhattan, West Village"
"360","182177","125 dollars","Bronx, Allerton"
"361","182649","70 dollars","Brooklyn, Williamsburg"
"362","185266","75 dollars","Brooklyn, Williamsburg"
"363","187566","99 dollars","Brooklyn, Bedford-Stuyvesant"
"364","189135","99 dollars","Manhattan, Hell's Kitchen"
"365","189732","169 dollars","Brooklyn, East New York"
"366","189787","99 dollars","Brooklyn, Crown Heights"
"367","190267","169 dollars","Manhattan, Upper East Side"
"368","190542","160 dollars","Brooklyn, Bedford-Stuyvesant"
"369","190968","215 dollars","Brooklyn, Prospect Heights"
"370","190974","130 dollars","Brooklyn, Park Slope"
"371","191075","110 dollars","Manhattan, East Village"
"372","193105","150 dollars","Manhattan, Hell's Kitchen"
"373","193393","75 dollars","Queens, Sunnyside"
"374","195123","50 dollars","Manhattan, Washington Heights"
"375","195233","43 dollars","Brooklyn, Prospect-Lefferts Gardens"
"376","195240","42 dollars","Brooklyn, Prospect-Lefferts Gardens"
"377","195971","139 dollars","Brooklyn, Bedford-Stuyvesant"
"378","195989","105 dollars","Brooklyn, Park Slope"
"379","197155","149 dollars","Manhattan, Hell's Kitchen"
"380","197753","68 dollars","Manhattan, Harlem"
"381","197942","99 dollars","Brooklyn, Bedford-Stuyvesant"
"382","199195","75 dollars","Manhattan, Harlem"
"383","199312","100 dollars","Brooklyn, Williamsburg"
"384","201992","190 dollars","Brooklyn, Park Slope"
"385","204065","248 dollars","Brooklyn, Clinton Hill"
"386","204959","95 dollars","Manhattan, Chinatown"
"387","205043","150 dollars","Manhattan, Theater District"
"388","205485","145 dollars","Brooklyn, Bedford-Stuyvesant"
"389","205735","41 dollars","Brooklyn, Bushwick"
"390","205867","120 dollars","Brooklyn, Williamsburg"
"391","206071","50 dollars","Bronx, Concourse Village"
"392","206772","195 dollars","Brooklyn, Williamsburg"
"393","208889","145 dollars","Brooklyn, Bedford-Stuyvesant"
"394","209310","50 dollars","Queens, Sunnyside"
"395","211974","250 dollars","Manhattan, East Village"
"396","212109","80 dollars","Manhattan, West Village"
"397","212178","230 dollars","Manhattan, Theater District"
"398","213272","40 dollars","Brooklyn, Bushwick"
"399","215560","79 dollars","Brooklyn, Bedford-Stuyvesant"
"400","215784","95 dollars","Queens, Long Island City"
"401","215907","300 dollars","Manhattan, Upper West Side"
"402","218358","80 dollars","Manhattan, Harlem"
"403","219066","110 dollars","Brooklyn, Bensonhurst"
"404","219922","100 dollars","Manhattan, Harlem"
"405","220351","55 dollars","Manhattan, Harlem"
"406","220946","146 dollars","Manhattan, East Village"
"407","221097","116 dollars","Brooklyn, Greenpoint"
"408","221618","150 dollars","Manhattan, Tribeca"
"409","222304","199 dollars","Manhattan, Chelsea"
"410","223930","150 dollars","Brooklyn, Prospect Heights"
"411","225306","79 dollars","Brooklyn, Bedford-Stuyvesant"
"412","225887","130 dollars","Brooklyn, Fort Greene"
"413","225926","239 dollars","Brooklyn, Clinton Hill"
"414","225976","75 dollars","Staten Island, Shore Acres"
"415","226021","220 dollars","Brooklyn, Williamsburg"
"416","227715","80 dollars","Brooklyn, Bedford-Stuyvesant"
"417","227735","288 dollars","Manhattan, East Village"
"418","228317","135 dollars","Brooklyn, Bedford-Stuyvesant"
"419","228496","225 dollars","Manhattan, West Village"
"420","228517","110 dollars","Manhattan, Chinatown"
"421","228925","100 dollars","Brooklyn, Bedford-Stuyvesant"
"422","229367","89 dollars","Manhattan, East Village"
"423","230321","80 dollars","Brooklyn, Bedford-Stuyvesant"
"424","230854","50 dollars","Bronx, Concourse"
"425","230877","135 dollars","Manhattan, East Harlem"
